;Order;Available;Needed for 6 device;Qty;Value;Device;Package;Parts;Description;DATASHEETURL;FAMILY_NAME;GENERIC_PART_NUMBER;INDUSTRY_STD_PKG_TYPE;MANUFACTURER;MANUFACTURER_PART_NUMBER;PACKAGE_DESIGNATOR;PIN_COUNT;PROD_ID;VALUE;VENDOR
x;-16;202;186;31;APA102;APA1022020;APA102_2020;U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33;APA102C 5050 RGB LED;;;;;;;;;;;
x;-135;183;48;8;10K;RESISTOR0603-RES;0603-RES;R10, R12, R13, R14, R15, R16, R17, R18;Resistor;;;;;;;;;;;
x;-189;207;18;3;0.1uF;CAP0603-CAP;0603-CAP;C7, C8, C9;Capacitor;;;;;;;;;;;
x;-6;24;18;3;BSS138;MOSFET-NCH-BSS138;SOT23-3;Q2, Q3, Q4;N-channel MOSFETs;;;;;;;;;TRANS-00830;220mA/50V/3.5?;
x;-8;20;12;2;GP-635TSMD;GP-635TSMD;GP-635T;ICSP, SERIAL;Footprint and symbol for a generic 6-pin JST GPS module connector.;;;;;;;;;CONN-08249;;
;-12;18;6;1;220uF;CAP_POL3528-KIT;EIA3528-KIT;C1;Capacitor Polarized;;;;;;;;;;;
;-11;17;6;1;4.7pF;CAP0603-CAP;0603-CAP;C3;Capacitor;;;;;;;;;;;
;-12;18;6;1;150K;RESISTOR0603-RES;0603-RES;R3;Resistor;;;;;;;;;;;
;-11;17;6;1;330;RESISTOR0603-RES;0603-RES;R9;Resistor;;;;;;;;;;;
;-9;15;6;1;100K;RESISTOR0603-RES;0603-RES;R2;Resistor;;;;;;;;;;;
;-9;15;6;1;300K;RESISTOR0603-RES;0603-RES;R1;Resistor;;;;;;;;;;;
;1;5;6;1;1000uF;CPOL-USD/7343-31W;D/7343-31W;C6;POLARIZED CAPACITOR, American symbol;;;;;;;;;;;
;-4;10;6;1;ATMEGA328P-AU;ATMEGA328P-AU;TQFP32;U34;Atmel 32-pin 8-bit microcontroller;;;;;;;;;;;
;-11;17;6;1;4.7uH;INDUCTOR;LTF5022;L1;LTF5022 Footprint;;;;;;;;;;;
;-5;11;6;1;16MHz;RESONATOR-16MHZSMD_3.2X1.3;RESONATOR-SMD-3.2X1.3;Y1;16MHz Resonator;;;;;;;;;XTAL-08900;16MHz;
;-5;11;6;1;APDS-9960;APDS-9960;APDS-9960;U35;Avago APDS-9960 Digital Proximity, Ambient Light, RGB, and Gesture Sensor.;;;;;;;;;SEN-12005;;
74-tmcma0j107mtrf;-5;17;12;2;100uF;CAP_POL1206-KIT;EIA3216-KIT;C4, C11;Capacitor Polarized;;;;;;;;;;;
;-35;47;12;2;1M;RESISTOR0603-RES;0603-RES;R8, R11;Resistor;;;;;;;;;;;
;-40;64;24;4;1uF;CAP0603-CAP;0603-CAP;C2, C5, C10, C12;Capacitor;;;;;;;;;;;
;-13;25;12;2;MBRA340;SS12;DIOM4427X270N;D1, D2;SS12 Series 500 mV 1 A 20 V Max Reverse Voltage Schottky Rectifier - DO-214AC;;;;;Fairchild Semiconductor;;;;;;
;0;6;6;1;KEYSTONE1088;KEYSTONE1088;KEYSTONE1088;BAT1;;;;;;;;;;;;
;-7;13;6;1;LM2623_DGK_8;LM2623_DGK_8;MUA08A;U1;;;;;;;lm2623ammnopb;;;;;National
;-8;14;6;1;2N2222;MMBT2222ALT1-NPN-SOT23-BEC;SOT23-BEC;T2;NPN Transistror;;;;;;;;;;;
;-12;18;6;1;2N2907;MMBT2907ALT1-PNP-SOT23-BEC;SOT23-BEC;T1;PNP Transistror;;;;;;;;;;;
;-12;18;6;1;STR2P3LLH6;MOSFET_PCH-IRLML2244;SOT23-3;Q1;P-channel MOSFETs;;;;;;;;;TRANS-11153;4.3A/20V/54m?;
;-12;18;6;1;1M8;RESISTOR0603-RES;0603-RES;R5;Resistor;;;;;;;;;;;
;-13;19;6;1;3M;RESISTOR0603-RES;0603-RES;R7;Resistor;;;;;;;;;;;
;-7;13;6;1;TPS78001_DDC_5;TPS78001_DDC_5;DDC5;U2;;httpwww.ti.comlitgpnTPS78001;SINGLE CHANNEL LDO;TPS78001;SOT;Texas Instruments;tps78001_ddc_5;DDC;5;;;Texas Instruments
;-6;18;12;2;2M2;RESISTOR0603-RES;0603-RES;R4, R6;Resistor;;;;;;;;;;;
;0;6;6;1;534-1024C;Kestone battery clip;;;;;;;;;;;;;;
;12;0;12;2;1M3;;;;;;;;;;;;;;;
;12;0;12;2;1M2;;;;;;;;;;;;;;;
