Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Christmas_Star.brd" as of: 2017.11.28. 17:06
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
BAT1,Top,2.165,3.490,270
C1,Top,2.905,2.605,180
C2,Top,1.760,1.030,180
C3,Top,2.884,2.120,270
C4,Top,3.135,2.295,180
C5,Top,1.760,1.200,0
C6,Top,2.698,1.182,270
C7,Top,1.541,2.027,270
C8,Top,0.926,2.174,270
C9,Top,0.910,2.440,90
C10,Top,2.570,2.108,270
C11,Top,1.742,2.173,270
C12,Top,1.740,1.969,0
D1,Top,3.040,1.185,270
D2,Top,3.245,1.835,0
ICSP,Top,2.657,0.681,359.7
L1,Top,2.705,1.760,180
Q1,Top,1.522,2.466,270
Q2,Top,1.502,1.272,0
Q3,Top,1.492,1.488,0
Q4,Top,1.486,1.791,0
R1,Top,3.069,2.110,270
R2,Top,3.229,2.110,90
R3,Top,3.379,2.110,270
R4,Top,2.559,3.000,90
R5,Top,2.560,2.630,90
R6,Top,2.559,2.820,270
R7,Top,2.689,2.630,270
R8,Top,2.689,2.820,270
R9,Top,1.205,1.793,0
R10,Top,1.130,2.440,270
R11,Top,0.930,2.030,90
R12,Top,1.320,2.440,90
R13,Top,1.760,1.350,0
R14,Top,1.750,1.630,0
R15,Top,1.750,1.790,180
R16,Top,1.220,1.070,0
R17,Top,1.220,1.330,0
R18,Top,0.930,1.790,0
SERIAL,Top,1.679,0.683,0.1
T1,Top,2.829,2.385,90
T2,Top,2.597,2.424,0
U1,Top,2.729,2.070,270
U2,Top,1.510,1.050,0
U3,Bottom,2.165,1.997,0
U4,Bottom,1.971,2.265,0
U5,Bottom,1.774,2.469,0
U6,Bottom,1.576,2.679,0
U7,Bottom,2.166,2.659,0
U8,Bottom,2.165,3.256,0
U9,Bottom,2.165,3.872,0
U10,Bottom,2.360,2.265,0
U11,Bottom,2.570,2.464,0
U12,Bottom,2.754,2.679,0
U13,Bottom,2.792,2.202,0
U14,Bottom,3.413,2.339,0
U15,Bottom,4.070,2.488,0
U16,Bottom,2.480,1.895,0
U17,Bottom,2.794,1.730,0
U18,Bottom,3.118,1.559,0
U19,Bottom,2.553,1.465,0
U20,Bottom,2.942,0.862,0
U21,Bottom,3.343,0.247,0
U22,Bottom,2.164,1.666,0
U23,Bottom,2.163,1.274,0
U24,Bottom,2.166,0.868,0
U25,Bottom,1.776,1.463,0
U26,Bottom,1.384,0.860,0
U27,Bottom,0.988,0.249,0
U28,Bottom,1.851,1.895,0
U29,Bottom,1.526,1.749,0
U30,Bottom,1.212,1.560,0
U31,Bottom,1.537,2.201,0
U32,Bottom,0.907,2.342,0
U33,Bottom,0.259,2.488,0
U34,Top,1.220,2.126,0
U35,Bottom,2.161,2.259,0
Y1,Top,0.830,2.030,270
